Date,Race/Ethnicity,All Cases,Ever Hospitaltized,Deaths
7/8/2020,Non-Hispanic White,33658,5633,6174
7/8/2020,Non-Hispanic Black/African American,10414,1351,675
7/8/2020,Hispanic,21540,1570,572
7/8/2020,Non-Hispanic Asian,2314,372,215
7/8/2020,Non-Hispanic Other,5726,897,536
7/8/2020,Unknown/Missing,36950,1694,71
7/9/2020,Non-Hispanic White,33830,5670,6198
7/9/2020,Non-Hispanic Black/African American,10442,1356,679
7/9/2020,Hispanic,21614,1574,573
7/9/2020,Non-Hispanic Asian,2321,373,215
7/9/2020,Non-Hispanic Other,5757,898,538
7/9/2020,Unknown/Missing,36933,1688,65
7/10/2020,Non-Hispanic White,33921,5687,6220
7/10/2020,Non-Hispanic Black/African American,10465,1358,683
7/10/2020,Hispanic,21675,1579,573
7/10/2020,Non-Hispanic Asian,2326,373,215
7/10/2020,Non-Hispanic Other,5801,900,539
7/10/2020,Unknown/Missing,36922,1685,66
7/11/2020,Non-Hispanic White,34010,5702,6229
7/11/2020,Non-Hispanic Black/African American,10477,1362,684
7/11/2020,Hispanic,21753,1581,572
7/11/2020,Non-Hispanic Asian,2329,373,215
7/11/2020,Non-Hispanic Other,5828,900,541
7/11/2020,Unknown/Missing,37001,1682,69
7/12/2020,Non-Hispanic White,34076,5705,6240
7/12/2020,Non-Hispanic Black/African American,10493,1363,684
7/12/2020,Hispanic,21803,1585,575
7/12/2020,Non-Hispanic Asian,2334,373,215
7/12/2020,Non-Hispanic Other,5839,901,542
7/12/2020,Unknown/Missing,37052,1681,69
7/13/2020,Non-Hispanic White,34147,5708,6245
7/13/2020,Non-Hispanic Black/African American,10502,1364,684
7/13/2020,Hispanic,21825,1585,575
7/13/2020,Non-Hispanic Asian,2338,373,215
7/13/2020,Non-Hispanic Other,5864,901,541
7/13/2020,Unknown/Missing,37151,1680,70
7/14/2020,Non-Hispanic White,34298,5720,6254
7/14/2020,Non-Hispanic Black/African American,10534,1364,685
7/14/2020,Hispanic,21862,1587,573
7/14/2020,Non-Hispanic Asian,2344,373,215
7/14/2020,Non-Hispanic Other,5885,904,543
7/14/2020,Unknown/Missing,37207,1677,70
7/15/2020,Non-Hispanic White,34409,5742,6284
7/15/2020,Non-Hispanic Black/African American,10550,1366,686
7/15/2020,Hispanic,21915,1591,576
7/15/2020,Non-Hispanic Asian,2349,373,215
7/15/2020,Non-Hispanic Other,5913,909,545
7/15/2020,Unknown/Missing,37211,1670,62
7/16/2020,Non-Hispanic White,34531,5750,6294
7/16/2020,Non-Hispanic Black/African American,10571,1369,687
7/16/2020,Hispanic,21997,1594,575
7/16/2020,Non-Hispanic Asian,2361,375,216
7/16/2020,Non-Hispanic Other,5952,910,546
7/16/2020,Unknown/Missing,37169,1665,62
7/17/2020,Non-Hispanic White,34691,5770,6314
7/17/2020,Non-Hispanic Black/African American,10612,1374,690
7/17/2020,Hispanic,22079,1600,580
7/17/2020,Non-Hispanic Asian,2374,376,216
7/17/2020,Non-Hispanic Other,5978,910,544
7/17/2020,Unknown/Missing,37145,1661,58
7/18/2020,Non-Hispanic White,34827,5781,6327
7/18/2020,Non-Hispanic Black/African American,10642,1376,691
7/18/2020,Hispanic,22147,1604,581
7/18/2020,Non-Hispanic Asian,2386,377,217
7/18/2020,Non-Hispanic Other,6009,912,545
7/18/2020,Unknown/Missing,37227,1659,58
7/19/2020,Non-Hispanic White,34921,5786,6337
7/19/2020,Non-Hispanic Black/African American,10663,1377,691
7/19/2020,Hispanic,22198,1605,582
7/19/2020,Non-Hispanic Asian,2390,377,217
7/19/2020,Non-Hispanic Other,6035,914,545
7/19/2020,Unknown/Missing,37327,1658,59
7/20/2020,Non-Hispanic White,35006,5789,6340
7/20/2020,Non-Hispanic Black/African American,10674,1377,691
7/20/2020,Hispanic,22228,1606,582
7/20/2020,Non-Hispanic Asian,2394,377,217
7/20/2020,Non-Hispanic Other,6057,915,545
7/20/2020,Unknown/Missing,37430,1658,58
7/21/2020,Non-Hispanic White,35177,5804,6353
7/21/2020,Non-Hispanic Black/African American,10704,1387,693
7/21/2020,Hispanic,22285,1607,582
7/21/2020,Non-Hispanic Asian,2403,379,218
7/21/2020,Non-Hispanic Other,6070,913,544
7/21/2020,Unknown/Missing,37394,1656,60
7/22/2020,Non-Hispanic White,35350,5817,6366
7/22/2020,Non-Hispanic Black/African American,10731,1390,693
7/22/2020,Hispanic,22344,1611,586
7/22/2020,Non-Hispanic Asian,2409,379,218
7/22/2020,Non-Hispanic Other,6106,914,545
7/22/2020,Unknown/Missing,37380,1650,60
7/23/2020,Non-Hispanic White,35473,5820,6380
7/23/2020,Non-Hispanic Black/African American,10759,1393,696
7/23/2020,Hispanic,22397,1616,588
7/23/2020,Non-Hispanic Asian,2410,379,219
7/23/2020,Non-Hispanic Other,6129,916,547
7/23/2020,Unknown/Missing,37479,1646,54
7/24/2020,Non-Hispanic White,35629,5828,6389
7/24/2020,Non-Hispanic Black/African American,10782,1394,696
7/24/2020,Hispanic,22458,1617,590
7/24/2020,Non-Hispanic Asian,2418,380,219
7/24/2020,Non-Hispanic Other,6153,916,548
7/24/2020,Unknown/Missing,37545,1650,56
7/25/2020,Non-Hispanic White,35748,5847,6398
7/25/2020,Non-Hispanic Black/African American,10806,1395,697
7/25/2020,Hispanic,22508,1623,591
7/25/2020,Non-Hispanic Asian,2427,381,219
7/25/2020,Non-Hispanic Other,6182,918,549
7/25/2020,Unknown/Missing,37597,1649,56
7/26/2020,Non-Hispanic White,35833,5854,6413
7/26/2020,Non-Hispanic Black/African American,10824,1397,699
7/26/2020,Hispanic,22566,1625,594
7/26/2020,Non-Hispanic Asian,2432,381,219
7/26/2020,Non-Hispanic Other,6218,920,549
7/26/2020,Unknown/Missing,37764,1651,55
7/27/2020,Non-Hispanic White,35898,5856,6419
7/27/2020,Non-Hispanic Black/African American,10845,1399,699
7/27/2020,Hispanic,22601,1626,596
7/27/2020,Non-Hispanic Asian,2440,382,219
7/27/2020,Non-Hispanic Other,6233,921,549
7/27/2020,Unknown/Missing,37909,1649,54
7/28/2020,Non-Hispanic White,36047,5866,6428
7/28/2020,Non-Hispanic Black/African American,10870,1399,700
7/28/2020,Hispanic,22682,1631,597
7/28/2020,Non-Hispanic Asian,2445,383,219
7/28/2020,Non-Hispanic Other,6262,923,550
7/28/2020,Unknown/Missing,37876,1653,57
7/29/2020,Non-Hispanic White,36260,5875,6449
7/29/2020,Non-Hispanic Black/African American,10934,1400,703
7/29/2020,Hispanic,22789,1634,599
7/29/2020,Non-Hispanic Asian,2456,383,219
7/29/2020,Non-Hispanic Other,6297,927,551
7/29/2020,Unknown/Missing,37948,1657,59
7/30/2020,Non-Hispanic White,36416,5884,6458
7/30/2020,Non-Hispanic Black/African American,10959,1402,705
7/30/2020,Hispanic,22882,1634,599
7/30/2020,Non-Hispanic Asian,2461,383,219
7/30/2020,Non-Hispanic Other,6337,930,552
7/30/2020,Unknown/Missing,38043,1660,62
7/31/2020,Non-Hispanic White,36636,5900,6473
7/31/2020,Non-Hispanic Black/African American,10992,1405,706
7/31/2020,Hispanic,23035,1640,601
7/31/2020,Non-Hispanic Asian,2473,385,220
7/31/2020,Non-Hispanic Other,6387,930,552
7/31/2020,Unknown/Missing,38089,1648,57
