Date,Positive Total,Positive New,Probable Total,Probable New,Estimated active cases
11/12/2020,174953,2482,5236,166,26201
11/13/2020,177627,2674,5468,232,27431
11/14/2020,180468,2841,5674,206,29082
11/15/2020,182544,2076,5731,57,30374
11/16/2020,184511,1967,5928,197,31768
11/17/2020,186774,2263,6190,262,32309
11/18/2020,189518,2744,6350,160,33659
11/19/2020,192050,2532,6500,150,34664
11/20/2020,194338,2288,6611,111,35526
11/21/2020,197329,2991,6826,215,37328
11/22/2020,200050,2721,6800,0,39073
11/23/2020,201835,1785,6788,0,40202
11/24/2020,204060,2225,7139,351,40449
11/25/2020,207284,3224,7310,171,41439
11/27/2020,211748,4464,7504,194,41852
11/28/2020,214662,2914,7807,303,42549
11/29/2020,217163,2501,7801,105,43709
11/30/2020,218329,1166,7803,94,43856
12/1/2020,221174,2845,8031,408,43601
12/2/2020,225787,4613,8445,414,45390
